file_name_list,speakers,visual_features,acoustic_features,lexical_features,emotion_labels,v_labels,a_labels,d_labels
Ses05F_impro03_F000,F05,../features/IEMOCAP/visual_features_resnet152_cropped_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F000.npy,../features/IEMOCAP/acoustic_features_MFB_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F000.npy,../features/IEMOCAP/lexical_features_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F000.npy,exc,2,1,2
Ses05F_impro03_F001,F05,../features/IEMOCAP/visual_features_resnet152_cropped_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F001.npy,../features/IEMOCAP/acoustic_features_MFB_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F001.npy,../features/IEMOCAP/lexical_features_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F001.npy,exc,2,1,2
Ses05F_impro03_F002,F05,../features/IEMOCAP/visual_features_resnet152_cropped_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F002.npy,../features/IEMOCAP/acoustic_features_MFB_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F002.npy,../features/IEMOCAP/lexical_features_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F002.npy,exc,2,1,2
Ses05F_impro03_F003,F05,../features/IEMOCAP/visual_features_resnet152_cropped_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F003.npy,../features/IEMOCAP/acoustic_features_MFB_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F003.npy,../features/IEMOCAP/lexical_features_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F003.npy,exc,2,2,2
Ses05F_impro03_F004,F05,../features/IEMOCAP/visual_features_resnet152_cropped_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F004.npy,../features/IEMOCAP/acoustic_features_MFB_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F004.npy,../features/IEMOCAP/lexical_features_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F004.npy,exc,2,2,2
Ses05F_impro03_F005,F05,../features/IEMOCAP/visual_features_resnet152_cropped_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F005.npy,../features/IEMOCAP/acoustic_features_MFB_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F005.npy,../features/IEMOCAP/lexical_features_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F005.npy,exc,2,2,2
Ses05F_impro03_F006,F05,../features/IEMOCAP/visual_features_resnet152_cropped_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F006.npy,../features/IEMOCAP/acoustic_features_MFB_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F006.npy,../features/IEMOCAP/lexical_features_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F006.npy,xxx,2,2,2
Ses05F_impro03_F007,F05,../features/IEMOCAP/visual_features_resnet152_cropped_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F007.npy,../features/IEMOCAP/acoustic_features_MFB_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F007.npy,../features/IEMOCAP/lexical_features_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F007.npy,exc,2,1,2
Ses05F_impro03_F008,F05,../features/IEMOCAP/visual_features_resnet152_cropped_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F008.npy,../features/IEMOCAP/acoustic_features_MFB_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F008.npy,../features/IEMOCAP/lexical_features_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F008.npy,exc,2,2,2
Ses05F_impro03_F009,F05,../features/IEMOCAP/visual_features_resnet152_cropped_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F009.npy,../features/IEMOCAP/acoustic_features_MFB_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F009.npy,../features/IEMOCAP/lexical_features_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F009.npy,exc,2,2,2
