"file_name_list","speakers","visual_features","acoustic_features","lexical_features","emotion_labels","v_labels","a_labels","d_labels"
"MSP-IMPROV-S01A-F02-R-FF01.avi","7","../features/MSP-Improv/visual_features_resnet152_normalized/session2/S01A/R/MSP-IMPROV-S01A-F02-R-FF01.npy","../features/MSP-Improv/acoustic_features_MFB_normalized/session2/S01A/R/MSP-IMPROV-S01A-F02-R-FF01.npy","../features/MSP-Improv/lexical_features_normalized/session2/S01A/R/MSP-IMPROV-S01A-F02-R-FF01.npy","0","0","2","1"
"MSP-IMPROV-S01A-F05-R-FF01.avi","10","../features/MSP-Improv/visual_features_resnet152_normalized/session5/S01A/R/MSP-IMPROV-S01A-F05-R-FF01.npy","../features/MSP-Improv/acoustic_features_MFB_normalized/session5/S01A/R/MSP-IMPROV-S01A-F05-R-FF01.npy","../features/MSP-Improv/lexical_features_normalized/session5/S01A/R/MSP-IMPROV-S01A-F05-R-FF01.npy","0","0","0","2"
"MSP-IMPROV-S01A-F06-R-FF01.avi","11","../features/MSP-Improv/visual_features_resnet152_normalized/session6/S01A/R/MSP-IMPROV-S01A-F06-R-FF01.npy","../features/MSP-Improv/acoustic_features_MFB_normalized/session6/S01A/R/MSP-IMPROV-S01A-F06-R-FF01.npy","../features/MSP-Improv/lexical_features_normalized/session6/S01A/R/MSP-IMPROV-S01A-F06-R-FF01.npy","0","0","1","1"
"MSP-IMPROV-S01A-M01-R-MM01.avi","0","../features/MSP-Improv/visual_features_resnet152_normalized/session1/S01A/R/MSP-IMPROV-S01A-M01-R-MM01.npy","../features/MSP-Improv/acoustic_features_MFB_normalized/session1/S01A/R/MSP-IMPROV-S01A-M01-R-MM01.npy","../features/MSP-Improv/lexical_features_normalized/session1/S01A/R/MSP-IMPROV-S01A-M01-R-MM01.npy","0","0","0","2"
"MSP-IMPROV-S01A-M02-R-MM01.avi","1","../features/MSP-Improv/visual_features_resnet152_normalized/session2/S01A/R/MSP-IMPROV-S01A-M02-R-MM01.npy","../features/MSP-Improv/acoustic_features_MFB_normalized/session2/S01A/R/MSP-IMPROV-S01A-M02-R-MM01.npy","../features/MSP-Improv/lexical_features_normalized/session2/S01A/R/MSP-IMPROV-S01A-M02-R-MM01.npy","5","0","2","1"
"MSP-IMPROV-S01H-F02-R-FF01.avi","7","../features/MSP-Improv/visual_features_resnet152_normalized/session2/S01H/R/MSP-IMPROV-S01H-F02-R-FF01.npy","../features/MSP-Improv/acoustic_features_MFB_normalized/session2/S01H/R/MSP-IMPROV-S01H-F02-R-FF01.npy","../features/MSP-Improv/lexical_features_normalized/session2/S01H/R/MSP-IMPROV-S01H-F02-R-FF01.npy","2","2","1","1"
"MSP-IMPROV-S01H-F05-R-FF01.avi","10","../features/MSP-Improv/visual_features_resnet152_normalized/session5/S01H/R/MSP-IMPROV-S01H-F05-R-FF01.npy","../features/MSP-Improv/acoustic_features_MFB_normalized/session5/S01H/R/MSP-IMPROV-S01H-F05-R-FF01.npy","../features/MSP-Improv/lexical_features_normalized/session5/S01H/R/MSP-IMPROV-S01H-F05-R-FF01.npy","2","2","0","2"
"MSP-IMPROV-S01H-F06-R-FF01.avi","11","../features/MSP-Improv/visual_features_resnet152_normalized/session6/S01H/R/MSP-IMPROV-S01H-F06-R-FF01.npy","../features/MSP-Improv/acoustic_features_MFB_normalized/session6/S01H/R/MSP-IMPROV-S01H-F06-R-FF01.npy","../features/MSP-Improv/lexical_features_normalized/session6/S01H/R/MSP-IMPROV-S01H-F06-R-FF01.npy","2","2","0","1"
"MSP-IMPROV-S01H-M01-R-MM01.avi","0","../features/MSP-Improv/visual_features_resnet152_normalized/session1/S01H/R/MSP-IMPROV-S01H-M01-R-MM01.npy","../features/MSP-Improv/acoustic_features_MFB_normalized/session1/S01H/R/MSP-IMPROV-S01H-M01-R-MM01.npy","../features/MSP-Improv/lexical_features_normalized/session1/S01H/R/MSP-IMPROV-S01H-M01-R-MM01.npy","2","2","1","1"
"MSP-IMPROV-S01H-M02-R-MM01.avi","1","../features/MSP-Improv/visual_features_resnet152_normalized/session2/S01H/R/MSP-IMPROV-S01H-M02-R-MM01.npy","../features/MSP-Improv/acoustic_features_MFB_normalized/session2/S01H/R/MSP-IMPROV-S01H-M02-R-MM01.npy","../features/MSP-Improv/lexical_features_normalized/session2/S01H/R/MSP-IMPROV-S01H-M02-R-MM01.npy","4","1","2","1"
