file_name_list,speakers,visual_features,acoustic_features,lexical_features,emotion_labels,v_labels,a_labels,d_labels
MSP-IMPROV-S01A-F02-R-FF01.avi,F02,../features/MSP-Improv/visual_features_resnet152_normalized/session2/S01A/R/MSP-IMPROV-S01A-F02-R-FF01.npy,../features/MSP-Improv/acoustic_features_MFB_normalized/session2/S01A/R/MSP-IMPROV-S01A-F02-R-FF01.npy,../features/MSP-Improv/lexical_features_normalized/session2/S01A/R/MSP-IMPROV-S01A-F02-R-FF01.npy,A,0,2,1
MSP-IMPROV-S01A-F03-R-FF01.avi,F03,../features/MSP-Improv/visual_features_resnet152_normalized/session3/S01A/R/MSP-IMPROV-S01A-F03-R-FF01.npy,../features/MSP-Improv/acoustic_features_MFB_normalized/session3/S01A/R/MSP-IMPROV-S01A-F03-R-FF01.npy,../features/MSP-Improv/lexical_features_normalized/session3/S01A/R/MSP-IMPROV-S01A-F03-R-FF01.npy,A,0,1,2
MSP-IMPROV-S01A-F05-R-FF01.avi,F05,../features/MSP-Improv/visual_features_resnet152_normalized/session5/S01A/R/MSP-IMPROV-S01A-F05-R-FF01.npy,../features/MSP-Improv/acoustic_features_MFB_normalized/session5/S01A/R/MSP-IMPROV-S01A-F05-R-FF01.npy,../features/MSP-Improv/lexical_features_normalized/session5/S01A/R/MSP-IMPROV-S01A-F05-R-FF01.npy,A,0,0,2
MSP-IMPROV-S01A-F06-R-FF01.avi,F06,../features/MSP-Improv/visual_features_resnet152_normalized/session6/S01A/R/MSP-IMPROV-S01A-F06-R-FF01.npy,../features/MSP-Improv/acoustic_features_MFB_normalized/session6/S01A/R/MSP-IMPROV-S01A-F06-R-FF01.npy,../features/MSP-Improv/lexical_features_normalized/session6/S01A/R/MSP-IMPROV-S01A-F06-R-FF01.npy,A,0,1,1
MSP-IMPROV-S01A-M01-R-MM01.avi,M01,../features/MSP-Improv/visual_features_resnet152_normalized/session1/S01A/R/MSP-IMPROV-S01A-M01-R-MM01.npy,../features/MSP-Improv/acoustic_features_MFB_normalized/session1/S01A/R/MSP-IMPROV-S01A-M01-R-MM01.npy,../features/MSP-Improv/lexical_features_normalized/session1/S01A/R/MSP-IMPROV-S01A-M01-R-MM01.npy,A,0,0,2
MSP-IMPROV-S01A-M02-R-MM01.avi,M02,../features/MSP-Improv/visual_features_resnet152_normalized/session2/S01A/R/MSP-IMPROV-S01A-M02-R-MM01.npy,../features/MSP-Improv/acoustic_features_MFB_normalized/session2/S01A/R/MSP-IMPROV-S01A-M02-R-MM01.npy,../features/MSP-Improv/lexical_features_normalized/session2/S01A/R/MSP-IMPROV-S01A-M02-R-MM01.npy,X,0,2,1
MSP-IMPROV-S01A-M03-R-MM01.avi,M03,../features/MSP-Improv/visual_features_resnet152_normalized/session3/S01A/R/MSP-IMPROV-S01A-M03-R-MM01.npy,../features/MSP-Improv/acoustic_features_MFB_normalized/session3/S01A/R/MSP-IMPROV-S01A-M03-R-MM01.npy,../features/MSP-Improv/lexical_features_normalized/session3/S01A/R/MSP-IMPROV-S01A-M03-R-MM01.npy,A,0,1,2
MSP-IMPROV-S01H-F02-R-FF01.avi,F02,../features/MSP-Improv/visual_features_resnet152_normalized/session2/S01H/R/MSP-IMPROV-S01H-F02-R-FF01.npy,../features/MSP-Improv/acoustic_features_MFB_normalized/session2/S01H/R/MSP-IMPROV-S01H-F02-R-FF01.npy,../features/MSP-Improv/lexical_features_normalized/session2/S01H/R/MSP-IMPROV-S01H-F02-R-FF01.npy,H,2,1,1
MSP-IMPROV-S01H-F03-R-FF01.avi,F03,../features/MSP-Improv/visual_features_resnet152_normalized/session3/S01H/R/MSP-IMPROV-S01H-F03-R-FF01.npy,../features/MSP-Improv/acoustic_features_MFB_normalized/session3/S01H/R/MSP-IMPROV-S01H-F03-R-FF01.npy,../features/MSP-Improv/lexical_features_normalized/session3/S01H/R/MSP-IMPROV-S01H-F03-R-FF01.npy,H,2,0,2
MSP-IMPROV-S01H-F05-R-FF01.avi,F05,../features/MSP-Improv/visual_features_resnet152_normalized/session5/S01H/R/MSP-IMPROV-S01H-F05-R-FF01.npy,../features/MSP-Improv/acoustic_features_MFB_normalized/session5/S01H/R/MSP-IMPROV-S01H-F05-R-FF01.npy,../features/MSP-Improv/lexical_features_normalized/session5/S01H/R/MSP-IMPROV-S01H-F05-R-FF01.npy,H,2,0,2
